
Epoch [1/100] Loss_D: 0.6871, Loss_G: 0.8022

Epoch [1/100] Loss_D: 0.0176, Loss_G: 4.0530

Epoch [1/100] Loss_D: 0.8295, Loss_G: 1.2409

Epoch [1/100] Loss_D: 0.4445, Loss_G: 1.4558

Epoch [1/100] Loss_D: 0.3456, Loss_G: 2.4208

Epoch [2/100] Loss_D: 0.5843, Loss_G: 4.0002

Epoch [2/100] Loss_D: 0.1398, Loss_G: 3.3049

Epoch [2/100] Loss_D: 0.3186, Loss_G: 5.3424

Epoch [2/100] Loss_D: 0.2801, Loss_G: 2.2110

Epoch [2/100] Loss_D: 0.2504, Loss_G: 4.0804

Epoch [3/100] Loss_D: 0.1621, Loss_G: 3.2993

Epoch [3/100] Loss_D: 0.2153, Loss_G: 3.6920

Epoch [3/100] Loss_D: 0.0488, Loss_G: 3.9186

Epoch [3/100] Loss_D: 0.0986, Loss_G: 1.8397

Epoch [3/100] Loss_D: 0.3218, Loss_G: 9.6866

Epoch [4/100] Loss_D: 0.1285, Loss_G: 4.8049

Epoch [4/100] Loss_D: 0.0839, Loss_G: 4.7645

Epoch [4/100] Loss_D: 0.0916, Loss_G: 4.4457

Epoch [4/100] Loss_D: 0.0500, Loss_G: 3.3352

Epoch [4/100] Loss_D: 0.0505, Loss_G: 5.2781

Epoch [5/100] Loss_D: 0.0301, Loss_G: 4.5362

Epoch [5/100] Loss_D: 0.0424, Loss_G: 5.1798

Epoch [5/100] Loss_D: 0.0408, Loss_G: 4.6353

Epoch [5/100] Loss_D: 0.0781, Loss_G: 5.5087

Epoch [5/100] Loss_D: 0.0464, Loss_G: 4.5685

Epoch [6/100] Loss_D: 0.1052, Loss_G: 6.8488

Epoch [6/100] Loss_D: 0.4175, Loss_G: 12.0380

Epoch [6/100] Loss_D: 0.0192, Loss_G: 5.2246

Epoch [6/100] Loss_D: 0.1031, Loss_G: 6.9934

Epoch [6/100] Loss_D: 0.2274, Loss_G: 6.6227

Epoch [7/100] Loss_D: 0.0333, Loss_G: 4.6385

Epoch [7/100] Loss_D: 0.0605, Loss_G: 4.6126

Epoch [7/100] Loss_D: 0.0433, Loss_G: 4.5031

Epoch [7/100] Loss_D: 0.0131, Loss_G: 5.2003

Epoch [7/100] Loss_D: 0.0188, Loss_G: 5.7170

Epoch [8/100] Loss_D: 0.0097, Loss_G: 6.0625

Epoch [8/100] Loss_D: 0.0555, Loss_G: 6.2114

Epoch [8/100] Loss_D: 0.0266, Loss_G: 6.1330

Epoch [8/100] Loss_D: 0.0117, Loss_G: 5.6189

Epoch [8/100] Loss_D: 0.0079, Loss_G: 2.1292

Epoch [9/100] Loss_D: 0.0493, Loss_G: 6.1044

Epoch [9/100] Loss_D: 0.0367, Loss_G: 6.9554

Epoch [9/100] Loss_D: 0.0111, Loss_G: 5.7998

Epoch [9/100] Loss_D: 0.0267, Loss_G: 4.8318

Epoch [9/100] Loss_D: 0.0379, Loss_G: 5.3537

Epoch [10/100] Loss_D: 0.0351, Loss_G: 5.0856

Epoch [10/100] Loss_D: 0.0092, Loss_G: 5.9190

Epoch [10/100] Loss_D: 0.0041, Loss_G: 6.2939

Epoch [10/100] Loss_D: 0.0210, Loss_G: 5.1140

Epoch [10/100] Loss_D: 0.0256, Loss_G: 7.0402

Epoch [11/100] Loss_D: 0.0066, Loss_G: 5.7056

Epoch [11/100] Loss_D: 0.0165, Loss_G: 6.5425

Epoch [11/100] Loss_D: 0.0300, Loss_G: 5.7000

Epoch [11/100] Loss_D: 0.0157, Loss_G: 5.5424

Epoch [11/100] Loss_D: 0.0094, Loss_G: 5.5018

Epoch [12/100] Loss_D: 0.0058, Loss_G: 5.8465

Epoch [12/100] Loss_D: 0.0190, Loss_G: 5.9962

Epoch [12/100] Loss_D: 0.0054, Loss_G: 6.0465

Epoch [12/100] Loss_D: 0.0161, Loss_G: 6.0974

Epoch [12/100] Loss_D: 0.0284, Loss_G: 6.8232

Epoch [13/100] Loss_D: 0.0076, Loss_G: 5.5663

Epoch [13/100] Loss_D: 0.0092, Loss_G: 5.8066

Epoch [13/100] Loss_D: 0.0030, Loss_G: 6.5074

Epoch [13/100] Loss_D: 0.0445, Loss_G: 9.1097

Epoch [13/100] Loss_D: 0.0074, Loss_G: 6.0998

Epoch [14/100] Loss_D: 0.0365, Loss_G: 11.0730

Epoch [14/100] Loss_D: 0.0027, Loss_G: 6.3433

Epoch [14/100] Loss_D: 0.0066, Loss_G: 6.2800

Epoch [14/100] Loss_D: 0.0022, Loss_G: 6.3509

Epoch [14/100] Loss_D: 0.0141, Loss_G: 6.1552

Epoch [15/100] Loss_D: 0.0121, Loss_G: 7.0651

Epoch [15/100] Loss_D: 0.0080, Loss_G: 6.0121

Epoch [15/100] Loss_D: 0.0107, Loss_G: 5.6975

Epoch [15/100] Loss_D: 0.1049, Loss_G: 4.2009

Epoch [15/100] Loss_D: 0.0303, Loss_G: 5.1819

